Ravenclaw,Slytherin,Gryffindor,Hufflepuff
-0.7740335533174876,-0.2522060862271905,-0.3453086554246335,-0.5448965156283061
-0.00473622877944585,0.008435822576572232,0.015866456373962442,0.014420661234996135
0.015855544296096483,0.26072742776375113,0.19663743225204133,0.17904506025906608
-0.14692920968391934,0.13519211799914374,0.4553352473628051,0.7696438723507926
0.24260067028557172,-0.322565103706012,-0.31064609245695657,0.5507809039644593
0.36144468098680044,0.5642245116833468,0.16668568990952234,-0.35290740774470913
0.026361291671412636,-0.60558587223423,0.010648207516181027,0.10250390351100101
0.6114061733668955,-0.05873286023905143,0.09218577402626052,-0.17561185291932313
0.421972359589907,-0.16957187571823232,0.3888469701785778,-0.5160825193348122
0.07256450913814567,0.2686708128372729,-0.15966071757369504,0.42672631339967393
-0.0284601707205408,0.21544823565203938,-0.3014768537709352,0.34717098355560255
-0.009179817186180803,0.4454146434047286,0.08562514543422207,-0.023615373656000534
0.0522526879759484,0.21977452562966804,0.16901553306443773,0.12590496975808835
0.5034058210357449,-0.3360959403374437,-0.2186128563506778,-0.01430245221060654
0.15188739576234048,0.20416116915294877,0.7012476417723396,-0.010783453224178357
